timestamp,run_id,phase,elapsed_min,meetings_completed,stances_converged,mem_usage_mb,events_emitted,meeting_sessions,meeting_turns,stance_updates,challenge_windows,moderator_decisions
2026-03-20 17:32:38,meeting_endurance_v2_1773999158_0,running,0,1,0,3,0,1,1,1,0,0
2026-03-20 17:32:43,meeting_endurance_v2_1773999163_1,running,0,2,0,3,0,1,1,1,0,0
2026-03-20 17:32:49,meeting_endurance_v2_1773999168_2,running,0,3,0,3,0,1,1,1,0,0
2026-03-20 17:32:54,meeting_endurance_v2_1773999174_3,running,0,4,0,3,0,1,1,1,0,0
2026-03-20 17:32:59,meeting_endurance_v2_1773999179_4,running,0,5,0,3,0,1,1,1,0,0
2026-03-20 17:33:05,meeting_endurance_v2_1773999184_5,running,0,6,0,3,0,1,1,1,0,0
2026-03-20 17:33:10,meeting_endurance_v2_1773999190_6,running,0,7,0,3,0,1,1,1,0,0
2026-03-20 17:33:15,meeting_endurance_v2_1773999195_7,running,0,8,0,3,0,1,1,1,0,0
2026-03-20 17:33:21,meeting_endurance_v2_1773999200_8,running,0,9,0,3,0,1,1,1,0,0
2026-03-20 17:33:26,meeting_endurance_v2_1773999206_9,running,0,10,0,3,0,1,1,1,0,0
2026-03-20 17:33:31,meeting_endurance_v2_1773999211_10,running,0,11,0,3,0,1,1,1,0,0
2026-03-20 17:33:37,meeting_endurance_v2_1773999216_11,running,0,12,0,3,0,1,1,1,0,0
2026-03-20 17:33:42,meeting_endurance_v2_1773999222_12,running,1,13,0,3,0,1,1,1,0,0
2026-03-20 17:33:47,meeting_endurance_v2_1773999227_13,running,1,14,0,3,0,1,1,1,0,0
2026-03-20 17:33:53,meeting_endurance_v2_1773999232_14,running,1,15,0,3,0,1,1,1,0,0
2026-03-20 17:33:58,meeting_endurance_v2_1773999238_15,running,1,16,0,3,0,1,1,1,0,0
2026-03-20 17:34:03,meeting_endurance_v2_1773999243_16,running,1,17,0,3,0,1,1,1,0,0
2026-03-20 17:34:09,meeting_endurance_v2_1773999248_17,running,1,18,0,3,0,1,1,1,0,0
2026-03-20 17:34:14,meeting_endurance_v2_1773999254_18,running,1,19,0,3,0,1,1,1,0,0
2026-03-20 17:34:19,meeting_endurance_v2_1773999259_19,running,1,20,0,3,0,1,1,1,0,0
2026-03-20 17:34:24,meeting_endurance_v2_1773999264_20,running,1,21,0,3,0,1,1,1,0,0
2026-03-20 17:34:30,meeting_endurance_v2_1773999269_21,running,1,22,0,3,0,1,1,1,0,0
2026-03-20 17:34:35,meeting_endurance_v2_1773999275_22,running,1,23,0,3,0,1,1,1,0,0
2026-03-20 17:34:40,meeting_endurance_v2_1773999280_23,running,2,24,0,3,0,1,1,1,0,0
2026-03-20 17:34:46,meeting_endurance_v2_1773999285_24,running,2,25,0,3,0,1,1,1,0,0
2026-03-20 17:34:51,meeting_endurance_v2_1773999291_25,running,2,26,0,3,0,1,1,1,0,0
2026-03-20 17:34:56,meeting_endurance_v2_1773999296_26,running,2,27,0,3,0,1,1,1,0,0
2026-03-20 17:35:02,meeting_endurance_v2_1773999301_27,running,2,28,0,3,0,1,1,1,0,0
2026-03-20 17:35:07,meeting_endurance_v2_1773999307_28,running,2,29,0,3,0,1,1,1,0,0
2026-03-20 17:35:12,meeting_endurance_v2_1773999312_29,running,2,30,0,3,0,1,1,1,0,0
2026-03-20 17:35:18,meeting_endurance_v2_1773999317_30,running,2,31,0,3,0,1,1,1,0,0
2026-03-20 17:35:23,meeting_endurance_v2_1773999323_31,running,2,32,0,3,0,1,1,1,0,0
2026-03-20 17:35:28,meeting_endurance_v2_1773999328_32,running,2,33,0,3,0,1,1,1,0,0
2026-03-20 17:35:34,meeting_endurance_v2_1773999333_33,running,2,34,0,3,0,1,1,1,0,0
2026-03-20 17:35:39,meeting_endurance_v2_1773999339_34,running,3,35,0,3,0,1,1,1,0,0
2026-03-20 17:35:44,meeting_endurance_v2_1773999344_35,running,3,36,0,3,0,1,1,1,0,0
2026-03-20 17:35:50,meeting_endurance_v2_1773999349_36,running,3,37,0,3,0,1,1,1,0,0
2026-03-20 17:35:55,meeting_endurance_v2_1773999355_37,running,3,38,0,3,0,1,1,1,0,0
2026-03-20 17:36:00,meeting_endurance_v2_1773999360_38,running,3,39,0,3,0,1,1,1,0,0
2026-03-20 17:36:06,meeting_endurance_v2_1773999365_39,running,3,40,0,3,0,1,1,1,0,0
2026-03-20 17:36:11,meeting_endurance_v2_1773999371_40,running,3,41,0,3,0,1,1,1,0,0
2026-03-20 17:36:16,meeting_endurance_v2_1773999376_41,running,3,42,0,3,0,1,1,1,0,0
2026-03-20 17:36:22,meeting_endurance_v2_1773999381_42,running,3,43,0,3,0,1,1,1,0,0
2026-03-20 17:36:27,meeting_endurance_v2_1773999387_43,running,3,44,0,3,0,1,1,1,0,0
2026-03-20 17:36:32,meeting_endurance_v2_1773999392_44,running,3,45,0,3,0,1,1,1,0,0
2026-03-20 17:36:38,meeting_endurance_v2_1773999397_45,running,3,46,0,3,0,1,1,1,0,0
2026-03-20 17:36:43,meeting_endurance_v2_1773999403_46,running,4,47,0,3,0,1,1,1,0,0
2026-03-20 17:36:48,meeting_endurance_v2_1773999408_47,running,4,48,0,3,0,1,1,1,0,0
2026-03-20 17:36:54,meeting_endurance_v2_1773999413_48,running,4,49,0,3,0,1,1,1,0,0
2026-03-20 17:36:59,meeting_endurance_v2_1773999419_49,running,4,50,0,3,0,1,1,1,0,0
2026-03-20 17:37:04,meeting_endurance_v2_1773999424_50,running,4,51,0,3,0,1,1,1,0,0
2026-03-20 17:37:10,meeting_endurance_v2_1773999429_51,running,4,52,0,3,0,1,1,1,0,0
2026-03-20 17:37:15,meeting_endurance_v2_1773999435_52,running,4,53,0,3,0,1,1,1,0,0
2026-03-20 17:37:20,meeting_endurance_v2_1773999440_53,running,4,54,0,3,0,1,1,1,0,0
2026-03-20 17:37:25,meeting_endurance_v2_1773999445_54,running,4,55,0,3,0,1,1,1,0,0
2026-03-20 17:37:31,meeting_endurance_v2_1773999450_55,running,4,56,0,3,0,1,1,1,0,0
2026-03-20 17:37:36,meeting_endurance_v2_1773999456_56,running,4,57,0,3,0,1,1,1,0,0
2026-03-20 17:37:42,meeting_endurance_v2_1773999461_57,running,5,58,0,3,0,1,1,1,0,0
2026-03-20 17:37:47,meeting_endurance_v2_1773999467_58,running,5,59,0,3,0,1,1,1,0,0
2026-03-20 17:37:52,meeting_endurance_v2_1773999472_59,running,5,60,0,3,0,1,1,1,0,0
2026-03-20 17:37:57,meeting_endurance_v2_1773999477_60,running,5,61,0,3,0,1,1,1,0,0
2026-03-20 17:38:03,meeting_endurance_v2_1773999482_61,running,5,62,0,3,0,1,1,1,0,0
2026-03-20 17:38:08,meeting_endurance_v2_1773999488_62,running,5,63,0,3,0,1,1,1,0,0
2026-03-20 17:38:13,meeting_endurance_v2_1773999493_63,running,5,64,0,3,0,1,1,1,0,0
2026-03-20 17:38:19,meeting_endurance_v2_1773999498_64,running,5,65,0,3,0,1,1,1,0,0
2026-03-20 17:38:24,meeting_endurance_v2_1773999504_65,running,5,66,0,3,0,1,1,1,0,0
2026-03-20 17:38:29,meeting_endurance_v2_1773999509_66,running,5,67,0,3,0,1,1,1,0,0
2026-03-20 17:38:35,meeting_endurance_v2_1773999514_67,running,5,68,0,3,0,1,1,1,0,0
2026-03-20 17:38:40,meeting_endurance_v2_1773999520_68,running,6,69,0,3,0,1,1,1,0,0
2026-03-20 17:38:45,meeting_endurance_v2_1773999525_69,running,6,70,0,3,0,1,1,1,0,0
2026-03-20 17:38:51,meeting_endurance_v2_1773999530_70,running,6,71,0,3,0,1,1,1,0,0
2026-03-20 17:38:56,meeting_endurance_v2_1773999536_71,running,6,72,0,3,0,1,1,1,0,0
2026-03-20 17:39:01,meeting_endurance_v2_1773999541_72,running,6,73,0,3,0,1,1,1,0,0
2026-03-20 17:39:07,meeting_endurance_v2_1773999546_73,running,6,74,0,3,0,1,1,1,0,0
2026-03-20 17:39:12,meeting_endurance_v2_1773999552_74,running,6,75,0,3,0,1,1,1,0,0
2026-03-20 17:39:17,meeting_endurance_v2_1773999557_75,running,6,76,0,3,0,1,1,1,0,0
2026-03-20 17:39:23,meeting_endurance_v2_1773999562_76,running,6,77,0,3,0,1,1,1,0,0
2026-03-20 17:39:28,meeting_endurance_v2_1773999568_77,running,6,78,0,3,0,1,1,1,0,0
2026-03-20 17:39:33,meeting_endurance_v2_1773999573_78,running,6,79,0,3,0,1,1,1,0,0
2026-03-20 17:39:39,meeting_endurance_v2_1773999578_79,running,7,80,0,3,0,1,1,1,0,0
2026-03-20 17:39:44,meeting_endurance_v2_1773999584_80,running,7,81,0,3,0,1,1,1,0,0
2026-03-20 17:39:49,meeting_endurance_v2_1773999589_81,running,7,82,0,3,0,1,1,1,0,0
2026-03-20 17:39:55,meeting_endurance_v2_1773999594_82,running,7,83,0,3,0,1,1,1,0,0
2026-03-20 17:40:00,meeting_endurance_v2_1773999600_83,running,7,84,0,3,0,1,1,1,0,0
2026-03-20 17:40:05,meeting_endurance_v2_1773999605_84,running,7,85,0,3,0,1,1,1,0,0
2026-03-20 17:40:11,meeting_endurance_v2_1773999610_85,running,7,86,0,3,0,1,1,1,0,0
2026-03-20 17:40:16,meeting_endurance_v2_1773999616_86,running,7,87,0,3,0,1,1,1,0,0
2026-03-20 17:40:21,meeting_endurance_v2_1773999621_87,running,7,88,0,3,0,1,1,1,0,0
2026-03-20 17:40:27,meeting_endurance_v2_1773999626_88,running,7,89,0,3,0,1,1,1,0,0
2026-03-20 17:40:32,meeting_endurance_v2_1773999632_89,running,7,90,0,3,0,1,1,1,0,0
2026-03-20 17:40:37,meeting_endurance_v2_1773999637_90,running,7,91,0,3,0,1,1,1,0,0
2026-03-20 17:40:43,meeting_endurance_v2_1773999642_91,running,8,92,0,3,0,1,1,1,0,0
2026-03-20 17:40:48,meeting_endurance_v2_1773999648_92,running,8,93,0,3,0,1,1,1,0,0
2026-03-20 17:40:53,meeting_endurance_v2_1773999653_93,running,8,94,0,3,0,1,1,1,0,0
2026-03-20 17:40:58,meeting_endurance_v2_1773999658_94,running,8,95,0,3,0,1,1,1,0,0
2026-03-20 17:41:04,meeting_endurance_v2_1773999663_95,running,8,96,0,3,0,1,1,1,0,0
2026-03-20 17:41:09,meeting_endurance_v2_1773999669_96,running,8,97,0,3,0,1,1,1,0,0
2026-03-20 17:41:14,meeting_endurance_v2_1773999674_97,running,8,98,0,3,0,1,1,1,0,0
2026-03-20 17:41:20,meeting_endurance_v2_1773999679_98,running,8,99,0,3,0,1,1,1,0,0
2026-03-20 17:41:25,meeting_endurance_v2_1773999685_99,running,8,100,0,3,0,1,1,1,0,0
2026-03-20 17:41:30,meeting_endurance_v2_1773999690_100,running,8,101,0,3,0,1,1,1,0,0
2026-03-20 17:41:36,meeting_endurance_v2_1773999695_101,running,8,102,0,3,0,1,1,1,0,0
2026-03-20 17:41:41,meeting_endurance_v2_1773999701_102,running,9,103,0,3,0,1,1,1,0,0
2026-03-20 17:41:46,meeting_endurance_v2_1773999706_103,running,9,104,0,3,0,1,1,1,0,0
2026-03-20 17:41:52,meeting_endurance_v2_1773999711_104,running,9,105,0,3,0,1,1,1,0,0
2026-03-20 17:41:57,meeting_endurance_v2_1773999717_105,running,9,106,0,3,0,1,1,1,0,0
2026-03-20 17:42:02,meeting_endurance_v2_1773999722_106,running,9,107,0,3,0,1,1,1,0,0
2026-03-20 17:42:08,meeting_endurance_v2_1773999727_107,running,9,108,0,3,0,1,1,1,0,0
2026-03-20 17:42:13,meeting_endurance_v2_1773999733_108,running,9,109,0,3,0,1,1,1,0,0
2026-03-20 17:42:18,meeting_endurance_v2_1773999738_109,running,9,110,0,3,0,1,1,1,0,0
2026-03-20 17:42:24,meeting_endurance_v2_1773999743_110,running,9,111,0,3,0,1,1,1,0,0
2026-03-20 17:42:29,meeting_endurance_v2_1773999749_111,running,9,112,0,3,0,1,1,1,0,0
2026-03-20 17:42:34,meeting_endurance_v2_1773999754_112,running,9,113,0,3,0,1,1,1,0,0
2026-03-20 17:42:40,meeting_endurance_v2_1773999759_113,running,10,114,0,3,0,1,1,1,0,0
2026-03-20 17:42:45,meeting_endurance_v2_1773999765_114,running,10,115,0,3,0,1,1,1,0,0
2026-03-20 17:42:50,meeting_endurance_v2_1773999770_115,running,10,116,0,3,0,1,1,1,0,0
2026-03-20 17:42:56,meeting_endurance_v2_1773999775_116,running,10,117,0,3,0,1,1,1,0,0
2026-03-20 17:43:01,meeting_endurance_v2_1773999781_117,running,10,118,0,3,0,1,1,1,0,0
2026-03-20 17:43:06,meeting_endurance_v2_1773999786_118,running,10,119,0,3,0,1,1,1,0,0
2026-03-20 17:43:12,meeting_endurance_v2_1773999791_119,running,10,120,0,3,0,1,1,1,0,0
2026-03-20 17:43:17,meeting_endurance_v2_1773999797_120,running,10,121,0,3,0,1,1,1,0,0
2026-03-20 17:43:22,meeting_endurance_v2_1773999802_121,running,10,122,0,3,0,1,1,1,0,0
2026-03-20 17:43:28,meeting_endurance_v2_1773999807_122,running,10,123,0,3,0,1,1,1,0,0
2026-03-20 17:43:33,meeting_endurance_v2_1773999813_123,running,10,124,0,3,0,1,1,1,0,0
2026-03-20 17:43:38,meeting_endurance_v2_1773999818_124,running,11,125,0,3,0,1,1,1,0,0
2026-03-20 17:43:44,meeting_endurance_v2_1773999823_125,running,11,126,0,3,0,1,1,1,0,0
2026-03-20 17:43:49,meeting_endurance_v2_1773999829_126,running,11,127,0,3,0,1,1,1,0,0
2026-03-20 17:43:54,meeting_endurance_v2_1773999834_127,running,11,128,0,3,0,1,1,1,0,0
2026-03-20 17:44:00,meeting_endurance_v2_1773999839_128,running,11,129,0,3,0,1,1,1,0,0
2026-03-20 17:44:05,meeting_endurance_v2_1773999845_129,running,11,130,0,3,0,1,1,1,0,0
2026-03-20 17:44:10,meeting_endurance_v2_1773999850_130,running,11,131,0,3,0,1,1,1,0,0
2026-03-20 17:44:16,meeting_endurance_v2_1773999855_131,running,11,132,0,3,0,1,1,1,0,0
2026-03-20 17:44:21,meeting_endurance_v2_1773999861_132,running,11,133,0,3,0,1,1,1,0,0
2026-03-20 17:44:26,meeting_endurance_v2_1773999866_133,running,11,134,0,3,0,1,1,1,0,0
2026-03-20 17:44:32,meeting_endurance_v2_1773999871_134,running,11,135,0,3,0,1,1,1,0,0
2026-03-20 17:44:37,meeting_endurance_v2_1773999877_135,running,11,136,0,3,0,1,1,1,0,0
2026-03-20 17:44:42,meeting_endurance_v2_1773999882_136,running,12,137,0,3,0,1,1,1,0,0
2026-03-20 17:44:48,meeting_endurance_v2_1773999887_137,running,12,138,0,3,0,1,1,1,0,0
2026-03-20 17:44:53,meeting_endurance_v2_1773999893_138,running,12,139,0,3,0,1,1,1,0,0
2026-03-20 17:44:58,meeting_endurance_v2_1773999898_139,running,12,140,0,3,0,1,1,1,0,0
2026-03-20 17:45:04,meeting_endurance_v2_1773999903_140,running,12,141,0,3,0,1,1,1,0,0
2026-03-20 17:45:09,meeting_endurance_v2_1773999909_141,running,12,142,0,3,0,1,1,1,0,0
2026-03-20 17:45:14,meeting_endurance_v2_1773999914_142,running,12,143,0,3,0,1,1,1,0,0
2026-03-20 17:45:20,meeting_endurance_v2_1773999919_143,running,12,144,0,3,0,1,1,1,0,0
2026-03-20 17:45:25,meeting_endurance_v2_1773999925_144,running,12,145,0,3,0,1,1,1,0,0
2026-03-20 17:45:30,meeting_endurance_v2_1773999930_145,running,12,146,0,3,0,1,1,1,0,0
2026-03-20 17:45:36,meeting_endurance_v2_1773999935_146,running,12,147,0,3,0,1,1,1,0,0
2026-03-20 17:45:41,meeting_endurance_v2_1773999941_147,running,13,148,0,3,0,1,1,1,0,0
2026-03-20 17:45:46,meeting_endurance_v2_1773999946_148,running,13,149,0,3,0,1,1,1,0,0
2026-03-20 17:45:52,meeting_endurance_v2_1773999951_149,running,13,150,0,3,0,1,1,1,0,0
2026-03-20 17:45:57,meeting_endurance_v2_1773999957_150,running,13,151,0,3,0,1,1,1,0,0
2026-03-20 17:46:02,meeting_endurance_v2_1773999962_151,running,13,152,0,3,0,1,1,1,0,0
2026-03-20 17:46:08,meeting_endurance_v2_1773999967_152,running,13,153,0,3,0,1,1,1,0,0
2026-03-20 17:46:13,meeting_endurance_v2_1773999973_153,running,13,154,0,3,0,1,1,1,0,0
2026-03-20 17:46:18,meeting_endurance_v2_1773999978_154,running,13,155,0,3,0,1,1,1,0,0
2026-03-20 17:46:24,meeting_endurance_v2_1773999983_155,running,13,156,0,3,0,1,1,1,0,0
2026-03-20 17:46:29,meeting_endurance_v2_1773999989_156,running,13,157,0,3,0,1,1,1,0,0
2026-03-20 17:46:34,meeting_endurance_v2_1773999994_157,running,13,158,0,3,0,1,1,1,0,0
2026-03-20 17:46:39,meeting_endurance_v2_1773999999_158,running,14,159,0,3,0,1,1,1,0,0
2026-03-20 17:46:45,meeting_endurance_v2_1774000004_159,running,14,160,0,3,0,1,1,1,0,0
2026-03-20 17:46:50,meeting_endurance_v2_1774000010_160,running,14,161,0,3,0,1,1,1,0,0
2026-03-20 17:46:55,meeting_endurance_v2_1774000015_161,running,14,162,0,3,0,1,1,1,0,0
2026-03-20 17:47:01,meeting_endurance_v2_1774000020_162,running,14,163,0,3,0,1,1,1,0,0
2026-03-20 17:47:06,meeting_endurance_v2_1774000026_163,running,14,164,0,3,0,1,1,1,0,0
2026-03-20 17:47:11,meeting_endurance_v2_1774000031_164,running,14,165,0,3,0,1,1,1,0,0
2026-03-20 17:47:17,meeting_endurance_v2_1774000036_165,running,14,166,0,3,0,1,1,1,0,0
2026-03-20 17:47:22,meeting_endurance_v2_1774000042_166,running,14,167,0,3,0,1,1,1,0,0
